Timestamp,Name,Issue,Description
03/04/21 10:46 AM,Smith 01,Brakes,my brakes make a noise whenever I try to stop
03/04/21 10:46 AM,Smith 02,Starter,Car starts then stops
03/04/21 10:47 AM,Smith 03,Door,I can't open the damn door to my car
03/04/21 10:47 AM,Smith 04,Starter,I turn the key and nothing happens
03/04/21 10:58 AM,Smith 05,Starter,Car doesn't start
03/04/21 10:59 AM,Smith 06,Starter,My car makes a weird whirring sound every time I start it
03/04/21 10:59 AM,Smith 07,Brakes,Car doesn't stop in timely manner
03/04/21 11:02 AM,Smith 08,Brakes,Car makes grinding noise
03/04/21 11:03 AM,Smith 09,Starter,I can hear the starter firing but the car doesnt start.
03/04/21 11:04 AM,Smith 10,Starter,Car does not start. It makes a sputtering noise and does not turn over
03/04/21 11:04 AM,Smith 11,Brakes,Car makes a lot noise and doesn't fully stop when we hit the break. 
03/04/21 11:05 AM,Smith 12,AC,"A/C is working, but is not blowing out cold air"
03/04/21 11:05 AM,Smith 13,Indicator Light,There is a light that came on that looks to be something related to the air bag or seat belt.  The seat belt itself on the passenger front side is having issues and does not feel secure.
03/04/21 11:06 AM,Smith 14,Brakes,It seems like I have to press the brakes a bit harder than I normally would.  Maybe the brakes are worn down and need to be replaced.
03/04/21 11:07 AM,Smith 15,Wheel Alignment,My car drifts when driving it and my tires seem to be wearing down at different rates.  I think my alignment is bad.
03/04/21 11:07 AM,Smith 16,Starter,I tried starting my car but it doesn't work.  It sputters for a while and never turns over.
03/04/21 11:08 AM,Smith 17,Starter,"I came out from work at the end of the day and the car would not start. I have a keyless start system and when I step on the brake and pushed the button, the lights would come one and the car would make a click click clicking sound but would not start. I'm not sure if it is the battery since the lights and radio worked but it definitely was not starting. Just that odd clicking noise...."
03/04/21 11:10 AM,Smith 18,Brakes,"It was really cold out and I could not get the emergency brake to disengage. When I tried to drive, the car made horrible grinding noises. "
03/04/21 11:12 AM,Smith 19,AC,My air conditioning doesn't seem to be working. I have the button pushed in and the light comes on and the fan is running full blast. But the car does not ever cool down and the air coming out of the vents doesn't feel any colder than the outside air.
03/04/21 11:14 AM,Smith 20,Steering Wheel,Steering wheel shakes when running at speed
03/04/21 11:18 AM,Smith 21,Battery,The battery is getting old so my range is a bit short these days.
03/04/21 11:25 AM,Smith 22,Brakes,It's not actually a grinding noise. It's rather a periodic deep sound when breaking.  
03/04/21 11:34 AM,Smith 23,Brakes,"When it rains, the car slides under braking and specially slips when driving over painted lines on the road"
03/04/21 11:36 AM,Smith 24,Brakes,"My cars breaks make noises and also take more time to stop. With that, highway driving is very dangerous"
03/04/21 11:37 AM,Smith 25,Brakes,Car makes grinding noise
03/04/21 11:38 AM,Smith 26,Starter,Car doesn't start
03/04/21 11:40 AM,Smith 27,Brakes,"When coming to a stop at a stop light, I press on the brake and the car comes to a complete stop, but then starts rolling again even if I keep my foot firmly pressing down on the brake pedal. "
03/04/21 11:41 AM,Smith 28,AC,AC doesn't work
03/04/21 11:42 AM,Smith 29,AC,"The HVAC system is broken in the car. t only has two modes -- full blast heat or full blast cooling. If I try to set it at anything other than MAX COOL, it defaults to full blast heat even if the control says, eg. 68F"
03/04/21 11:44 AM,Smith 30,Starter,"When I try to start the car, it spits and sputters for a very long time before finally engaging and actually turning on."
03/04/21 11:47 AM,Smith 31,Brakes,Customer states breaks make a terrible sound when stopping. 
03/04/21 11:48 AM,Smith 32,Steering Wheel,The steering wheel shakes uncontrollably when I accelerate above 60 mph. It's an intense upper body workout to stay in one lane on the freeway.
03/04/21 11:49 AM,Smith 33,Brakes,"Not so much a grinding noise, more like a piercing shriek of anguish"
03/04/21 11:51 AM,Smith 34,Starter,"Sometimes the car doesn't start and it seems like the battery is dead, but I have replaced the battery three times over the past year, so I think maybe either I'm buying defective batteries or something about the car is wrecking perfectly good batteries that should be lasting years."
03/04/21 11:53 AM,Smith 35,Brakes,"I press down on the brake pedal all the way to the floor, and the car does slow, but it takes a long time to come to a complete stop."
03/04/21 12:02 PM,Smith 36,Other,"Blind Spot Monitoring system will randomly be disabled. 
The oil change light comes on after an oil  change has been performed.
I think my car is talking to me through the radio and asking me if I know where the All Spark is hidden"
03/04/21 12:05 PM,Smith 37,Other,I have a problem with my blinker fluid.
03/04/21 12:09 PM,Smith 38,Other,The windshield has a growing crack in it.
03/04/21 12:11 PM,Smith 39,Brakes,The rotors are warped so it's difficult to push the break pedal without lurching.
03/04/21 12:11 PM,Smith 40,Other,The car pulls to the left.
03/04/21 12:19 PM,Smith 41,Starter,I turn the key and hear funny sounds but nothing happens.  Cannot get the car to turn over.  Please help ASAP!
03/04/21 12:19 PM,Smith 42,Other,I'm hearing a noise and feeling a vibration when I turn the wheel. 
03/04/21 12:20 PM,Smith 43,Other,"Brake pedal engagement varies, sometimes hard sometimes soft"
03/04/21 12:20 PM,Smith 44,Other,There is a lag when I push the gas peddle. There isn't an immediate response. 
03/04/21 12:21 PM,Smith 45,Brakes,It is more squealing or screeching sounds than grinding.  Plus it seems it takes more force to stop and sometimes very bumpy.
03/04/21 12:21 PM,Smith 46,Starter,"Starter makes clicking noise, won't start the engine unless you hit the starter with a hammer."
03/04/21 12:21 PM,Smith 47,Brakes,The car make some screeching or grinding noises when stopping. It is very unpleasant.
