That is all,other
my car does not stop,brakes
I can't open the damn door to my car,other
My car makes a weird whirring sound every time I start my car starts.,starter
Car dies when I stop at a light or stop sign and then won't start again.,starter
It then takes several clicks on the road,other
I think my alignment is bad.,other
"When it rains, the car in reverse, the hatchback latch opens so that the backup camera can engage.",other
"It makes clunking noises when I manually check it, it is fine.",other
The driver side window auto function does not ever cool down and the fan is running full blast.,other
"When turning, the car is now a pile of ashes.",other
"To much technology, and that is ieven getting worse from model to newer model.",other
It makes a sputtering noise and does not start.,starter
But the car is behaving very weird.,other
Parking brake doesn’t return once released,brakes
It makes a sputtering noise and does not start.,starter
I'm not sure if it is the battery three times before the car doesnt start.,starter
There is a lag when I push the gas peddle.,other
"sometimes, it won't turn on, but it won't go up at all!",other
Car won’t stop quickly,brakes
"It makes clunking noises when I turn the key, nothing happens.",other
Blind Spot Monitoring system will randomly be disabled.,other
"If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!",other
Sometimes the car would make a click click clicking sound - maybe a dead battery?,starter
It seems like I have to press the brakes disengage.,brakes
"Where's the place, where I need to insert my key to start it.",starter
The pedal feels squishy and pulses when I press the brakes disengage.,brakes
Metallic scraping or grinding noise,brakes
I turn the key and nothing happens,starter
Car takes too long to stop when I press down,brakes
The car is leaning on left,other
Car doesn't always start when it's low on blinker fluid,starter
Sometimes when I push hard on the brakes.,brakes
my brakes make a deep grinding metal sound,brakes
And the brake pedal.,brakes
"It won't go, but it kind of won't stop either.",other
"This must be a sensor issue on this tire, but I'm not sure.",other
Spongy brake pedal.,brakes
Aaarrrggghhh!!!!,other
my brakes make a deep grinding metal sound,brakes
I keep my foot firmly pressing down on the brakes.,brakes
My car is now a pile of ashes.,other
"It sputters for a very long time to start, and if I push the key in it makes a grinding noise too.",starter
Brake pedal vibrates,brakes
My car is behaving very weird.,other
"I turn the key in the ignition, I just get a clicking sound - maybe a dead battery?",starter
When I try to start it.,starter
When I try to start it.,starter
I hear a grinding noise as I drive.,other
Car doesn't always start when it's low on blinker fluid,starter
It sputters for a very long time before finally engaging and actually turning on.,starter
I'm having an issue with fuel injection sensor or pressure.,other
There's slack in my car is behaving very weird.,other
"It's really bad at lower speeds, but generally tolerable at or above 80.",other
The steering wheel shakes uncontrollably when I accelerate above 60 mph.,other
I tried starting my car but it definitely was not starting.,starter
There's slack in my car,other
The other 3 tires report normally.,other
Exhaust has a lot of black smoke and acrid smell.,other
The steering wheel shudders and I can't put gas in my steering wheel.,other
My car does not start.,starter
Please help ASAP!,starter
It makes a grinding noise too.,starter
Exhaust has a growing crack in it.,other
"I can't drive that way, always these bullshitty new technologies...",starter
My air conditioning doesn't seem to be something related to the left.,other
"When I tried to drive, the car does not stop",brakes
Car makes a squeaky noise when stopping.,brakes
"Car takes too long to stop when I brake, after a few seconds, the brakes disengage.",brakes
"But the car in reverse, the hatchback latch opens so that the backup camera can engage.",other
When I try to start the ignition?,starter
The left rear window only rolls down but does not roll back up.,other
It seems like I have to press the brakes disengage.,brakes
When I try to start it.,starter
"When turning, the car evaluated.",other
I can hear the starter with a hammer.,starter
Not so much a grinding noise and brakes disengage,brakes
super frustrating every time I start my car but it doesn't work.,starter
There isn't an immediate response.,other
The car won't start!,other
Please help ASAP!,starter
My battery keeps dying.,other
My car does not turn over.,starter
Cannot get the car doesnt start.,starter
Alternator is faulty,starter
It is more squealing or screeching sounds than grinding.,brakes
Brake pads appear less than ¼ inch thick,brakes
Then I have to brake the car refuses to stop when I press the brake and the car,brakes
"It won't go, but it won't turn off either.",other
I'm on the road,other
The battery is getting old so my range is a light that came on that looks to be working.,other
Then I have to brake the car made horrible grinding noises.,brakes
"sometimes, it won't turn on, but it won't go up at all!",other
It makes a grinding noise too.,starter
Then I have to press the brakes a bit harder than I normally would.,brakes
Car doesn't always start when it's low on blinker fluid,starter
The car won't start!,other
The left rear window only rolls down but does not feel secure.,other
Car creates whistle sound each time I start it,starter
The windshield has a growing crack in it.,other
